id,line,site_of_interest,services,status
niquia,A,"{""Cámara de Comercio de Medellín"",""Cerro Quitasol"",""Hospital Marco Fidel Suárez"",""Universidad Deportiva Tulio Ospina""}","{""PAC"",""bibliometro"",""ruta_integrada"",""parqueadero_para_bicicletas""}",O
bello,A,"{""Museo Choza Marco Fidel Suárez"",""Sede Administrativa del METRO""}","{""ruta_integrada"",""parqueadero_para_bicicletas""}",O
madera,A,"{""Hospital Mental de Antioquia"",""Interactuar""}","{""ruta_integrada""}",O
acevedo,A,NULL,"{""bibliometro"",""ruta_integrada"",""zona_wifi""}",O
tricentenario,A,"{""Parque Juanes de la Paz""}","{""ruta_integrada""}",O
caribe,A,"{""Termina de Transporte del Norte""}","{""ruta_integrada"",""zona_wifi""}",O
universidad,A,"{""Jardín Botánico"",""Parque de los Deseos"",""Parque Explora"",""Parque Norte"",""Planetario"",""Ruta N"",""Universidad de Antioquia""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""estacion_encicla""}",O
hospital,A,"{""Clínica León XIII"",""Hospital Infantil"",""Hospital Universitario San Vicente Fundacion"",""Museo Cementerio San Pedro"",""Preuniversitario Formarte""}","{""ruta_integrada"",""zona_wifi""}",O
prado,A,"{""Catedral Metropolitana"",""Parque de Bolivar""}","{""ruta_integrada""}",O
parque_berrío,A,"{""Calle Junín"",""Casa Barrientos"",""Corporación Universitaria Rémigton"",""Edificio Coltejer"",""Galería de Arte Colombo Americano"",""Iglesia La Candelaria"",""Museo de Antioquia"",""Palacio de la Cultura Rafael Uribe Uribe"",""Palacio Nacional"",""Plaza Botero"",""Reposteria El Ástor"",""Salón Versalles""}","{""zona_wifi"",""estacion_enclicla""}",O
san_antonio,A,"{""Parque San Antonio"",""Paseo Peatonal Carabobo""}","{""PAC"",""bibliometro"",""zona_wifi"",""estacion_encicla""}",O
alpujarra,A,"{""Área Metropolitana"",""Centro Administrativo Alpujarra"",""Cooperativa de Ahorro y crédito COOTRAMED"",""Edificio Carré"",""Edificio EPM"",""Edificio Vásquez"",""Parque Pies Descalzos"",""Plaza de la Libertad"",""Plaza Mayor"",""Salón Málaga"",""Teleantioquia""}",NULL,O
exposiciones,A,"{""Centro Comercial Sandiego"",""Hospital General Medellín"",""Plaza Mayor"",""Pueblito Paisa"",""Teatro Metropolitano""}","{""ruta_integrada""}",O
industriales,A,"{""Museo De Arte Moderno"",""Pueblito Paisa""}","{""ruta_integrada"",""zona_wifi"",""estacion_encicla""}",O
poblado,A,"{""Astorga"",""Aeropuerto Holaya Herrera"",""Calle de la buena mesa"",""La Vía Primavera"",""Parque de El Poblado"",""Terminal de Transporte Sur""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""zona_wifi""}",O
aguacatala,A,"{""Museo El Castillo""}","{""ruta_integrada""}",O
ayura,A,"{""Barrio Jardines"",""Casa Museo Fernando González Otraparte""}","{""ruta_integrada""}",O
envigado,A,"{""Bliblioteca y Parque Cultural Débora Arango"",""Casa de la Cultura Miguel Uribe Restrepo"",""COOPETRABAN, cooperativo de ahorro y crédito"",""La última estación"",""Restaurante La gloria de Gloria""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""estacion_encicla""}",O
itagui,A,"{""Mayorca el Outlet"",""Vía de la Moda""}","{""bibliometro"",""parqueadero_para_bicicletas"",""zona_wifi""}",O
sabaneta,A,"{""Iglesia María Auxiliadora"",""La Centralidad Sur""}","{""ruta_integrada"",""estacion_encicla""}",O
la_estrella,A,"{""La Centralidad Sur""}","{""ruta_integrada""}",O
san_antonio,B,"{""Villa Sudamerica"", ""Parque San Antonio"", ""Paseo Carabobo""}","{""pac"", ""zona_wifi"",""bibliometro"",""estacion_encicla""}",O
cisneros,B,"{""Biblioteca EPM"", ""Centro Administrativo Alpujarra"", ""Parque Pies Desclazos"", ""SENA"", ""Linea B""}","{""estacion_encicla""}",O
suramericana,B,"{""Barrio Carlos E. Restrepo"", ""Biblioteca Pública Piloto"", ""Sistema de bicicletas públicas ENCICLA"", ""Universidad Nacional""}","{""rutas_integradas"", ""zona_wifi"",""estacion_encicla""}",O
estadio,B,"{""Boulevard de la 70"", ""Sistema de bicicletas ENCICLA"",""Unidad Deportiva Atanasio Giraldot""}","{""parqueadero_para_bicicletas"",""ruta_integrada"",""zona_wifi""}",O
floresta,B,"{""Cuarta Brigada""}","{""parqueadero_para_bicicletas"",""ruta_integrada"",""estacion_encicla""}",O
santa_lucia,B,NULL,"{""parqueadero_para_bicicletas"",""ruta_integrada""}",O
