line,id,site_of_interest,services,status
A,niquia,"{""Cámara de Comercio de Medellín"",""Cerro Quitasol"",""Hospital Marco Fidel Suárez"",""Universidad Deportiva Tulio Ospina""}","{""PAC"",""bibliometro"",""ruta_integrada"",""parqueadero_para_bicicletas""}",O
A,bello,"{""Museo Choza Marco Fidel Suárez"",""Sede Administrativa del METRO""}","{""ruta_integrada"",""parqueadero_para_bicicletas""}",O
A,madera,"{""Hospital Mental de Antioquia"",""Interactuar""}","{""ruta_integrada""}",O
A,acevedo,NULL,"{""bibliometro"",""ruta_integrada"",""zona_wifi""}",O
A,tricentenario,"{""Parque Juanes de la Paz""}","{""ruta_integrada""}",O
A,caribe,"{""Termina de Transporte del Norte""}","{""ruta_integrada"",""zona_wifi""}",O
A,universidad,"{""Jardín Botánico"",""Parque de los Deseos"",""Parque Explora"",""Parque Norte"",""Planetario"",""Ruta N"",""Universidad de Antioquia""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""estacion_encicla""}",O
A,hospital,"{""Clínica León XIII"",""Hospital Infantil"",""Hospital Universitario San Vicente Fundacion"",""Museo Cementerio San Pedro"",""Preuniversitario Formarte""}","{""ruta_integrada"",""zona_wifi""}",O
A,prado,"{""Catedral Metropolitana"",""Parque de Bolivar""}","{""ruta_integrada""}",O
A,parque_berrío,"{""Calle Junín"",""Casa Barrientos"",""Corporación Universitaria Rémigton"",""Edificio Coltejer"",""Galería de Arte Colombo Americano"",""Iglesia La Candelaria"",""Museo de Antioquia"",""Palacio de la Cultura Rafael Uribe Uribe"",""Palacio Nacional"",""Plaza Botero"",""Reposteria El Ástor"",""Salón Versalles""}","{""zona_wifi"",""estacion_enclicla""}",O
A,san_antonio,"{""Parque San Antonio"",""Paseo Peatonal Carabobo""}","{""PAC"",""bibliometro"",""zona_wifi"",""estacion_encicla""}",O
A,alpujarra,"{""Área Metropolitana"",""Centro Administrativo Alpujarra"",""Cooperativa de Ahorro y crédito COOTRAMED"",""Edificio Carré"",""Edificio EPM"",""Edificio Vásquez"",""Parque Pies Descalzos"",""Plaza de la Libertad"",""Plaza Mayor"",""Salón Málaga"",""Teleantioquia""}",NULL,O
A,exposiciones,"{""Centro Comercial Sandiego"",""Hospital General Medellín"",""Plaza Mayor"",""Pueblito Paisa"",""Teatro Metropolitano""}","{""ruta_integrada""}",O
A,industriales,"{""Museo De Arte Moderno"",""Pueblito Paisa""}","{""ruta_integrada"",""zona_wifi"",""estacion_encicla""}",O
A,poblado,"{""Astorga"",""Aeropuerto Holaya Herrera"",""Calle de la buena mesa"",""La Vía Primavera"",""Parque de El Poblado"",""Terminal de Transporte Sur""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""zona_wifi""}",O
A,aguacatala,"{""Museo El Castillo""}","{""ruta_integrada""}",O
A,ayura,"{""Barrio Jardines"",""Casa Museo Fernando González Otraparte""}","{""ruta_integrada""}",O
A,envigado,"{""Bliblioteca y Parque Cultural Débora Arango"",""Casa de la Cultura Miguel Uribe Restrepo"",""COOPETRABAN, cooperativo de ahorro y crédito"",""La última estación"",""Restaurante La gloria de Gloria""}","{""ruta_integrada"",""parqueadero_para_bicicletas"",""estacion_encicla""}",O
A,itagui,"{""Mayorca el Outlet"",""Vía de la Moda""}","{""bibliometro"",""parqueadero_para_bicicletas"",""zona_wifi""}",O
A,sabaneta,"{""Iglesia María Auxiliadora"",""La Centralidad Sur""}","{""ruta_integrada"",""estacion_encicla""}",O
