id,affected_station_id,incident_id
1,45,1
2,47,1
3,48,1
4,46,1
5,39,2
6,38,2
7,37,2
8,36,2
9,45,3
10,47,3
11,48,3
12,46,3
13,39,4
14,38,4
15,37,4
16,36,4
17,40,5
18,41,5
19,45,6
20,47,6
21,48,6
22,46,6
23,39,7
24,38,7
25,37,7
26,36,7
27,40,8
28,41,8
29,45,9
30,47,9
31,48,9
32,46,9
33,39,10
34,38,10
35,37,10
36,36,10
37,40,11
38,41,11
39,34,12
40,32,12
41,35,12
42,33,12
43,40,13
44,41,13
45,40,14
46,41,14
47,39,15
48,38,15
49,37,15
50,36,15
51,34,16
52,32,16
53,35,16
54,33,16
55,45,17
56,47,17
57,48,17
58,46,17
